currency,discount,ean,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,image,address,brand,coordinates,hours,name,id,type
DKK,6.95,5704000502476,2024-03-22 22:59:59+00:00,2024-03-21 10:05:37+00:00,10,16.95,41.0,2024-03-19 06:14:29+00:00,7.0,each,"{'da': 'Mejeri & køl>Pålæg>Leverpostej & paté', 'en': 'Dairy And Cold Storage>Lunch Meats>Liver Paste Patee'}",FRANSK POSTEJ STRYHNS,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f70287473e20a003b8feb10539354275","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,35.0,5712876783608,2024-03-22 22:59:59+00:00,2024-03-21 10:05:37+00:00,54,89.0,39.33,2024-03-21 05:35:07+00:00,1.0,each,{},RIBBENSTEG VELSMAG,,"{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,6.95,5712874224196,2024-03-22 22:59:59+00:00,2024-03-21 10:20:39+00:00,16,22.95,30.28,2024-03-21 05:57:44+00:00,2.0,each,"{'da': 'Mejeri & køl>Færdigretter>Sandwiches & wraps', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Sandwiches Wraps'}",SANDWI. KYLLING NÆMT,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a7cf37d13c8fd78db0709b2881b79cbe","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,16.95,5712876482488,2024-03-22 22:59:59+00:00,2024-03-21 12:35:42+00:00,18,34.95,48.5,2024-03-21 05:54:52+00:00,1.0,each,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",PASTA I FLØDE ØGO,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b58ddcb737b8780365f25a69d2ede1df","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,15.95,5707196277562,2024-03-22 22:59:59+00:00,2024-03-21 13:05:35+00:00,24,39.95,39.92,2024-03-21 05:37:12+00:00,1.0,each,"{'da': 'Kød & fisk>Grisekød>Hakket grise- & kalvekød', 'en': 'Meat Fish>Pork>Minced Pork Veal'}",HK GRIS/KALV 8-12% VELSMAG,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4eb5455f-7ccb-4e51-9fd8-73d591537ce5","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,10.95,5038862001038,2024-03-22 22:59:59+00:00,2024-03-21 13:35:42+00:00,13,23.95,45.72,2024-03-19 09:00:59+00:00,2.0,each,"{'da': 'Drikkevarer>Juice & smoothies>Smoothies', 'en': 'Beverages>Juice Smoothies>Smoothies'}",REVITALISE SMOO SMOOTHIE 300,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/25af61fdcaffcfabdf238591aab4ab96","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,3.25,5701205005481,2024-03-22 22:59:59+00:00,2024-03-21 13:35:42+00:00,10,13.25,24.53,2024-03-21 05:24:11+00:00,1.0,each,"{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}",SKOVMAND SCHULSTAD,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/d4e0e3b5fbd3dd1ab56d3daa90792487","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,13.95,5710328002277,2024-03-22 22:59:59+00:00,2024-03-21 14:20:44+00:00,15,28.95,48.19,2024-03-19 08:10:11+00:00,1.0,each,"{'da': 'Mejeri & køl>Mejeri>Smør & fedtstof>Smør', 'en': 'Dairy And Cold Storage>Dairy>Butter Fats>Butter'}",ØKO SMØR LØGISMOSE,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/03670a0e-5c5d-4fa9-8bd0-fba96e5167f0","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,8.95,5038862231107,2024-03-22 22:59:59+00:00,2024-03-21 14:50:42+00:00,15,23.95,37.37,2024-03-19 09:00:42+00:00,1.0,each,"{'da': 'Drikkevarer>Juice & smoothies>Smoothies', 'en': 'Beverages>Juice Smoothies>Smoothies'}",ENERGISE+ INNOCENT,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c9f3e71f-62f0-4d14-9abd-3889097cb401","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,47.95,5707196312775,2024-03-22 22:59:59+00:00,2024-03-22 05:32:52+00:00,42,89.95,53.31,2024-03-22 05:32:10+00:00,2.0,each,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Flæskesteg & ribbenssteg', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Roasted Pork'}",FLÆSKESTEG VELSMAG,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/3f02883f799f6fc52661a39b5898009d","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,13.95,5712875801730,2024-03-22 22:59:59+00:00,2024-03-21 16:50:40+00:00,18,31.95,43.66,2024-03-19 06:33:56+00:00,2.0,each,"{'da': 'Mejeri & køl>Kartoffeltilbehør>Kartoffelsalat', 'en': 'Dairy And Cold Storage>Potato Accessories>potato Salad'}",KARTOFFELSALAT PREMIEUR,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/e4a17a88696d4692cba1d013ecd36ce2","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,14.95,5707196139242,2024-03-22 22:59:59+00:00,2024-03-21 19:05:59+00:00,20,34.95,42.78,2024-03-19 06:34:21+00:00,8.0,each,"{'da': 'Mejeri & køl>Bacon, pølser & toppings>Pølser>Grisepølser', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Sausages>Pork Sausages'}",BAYERSKE PØLSER STEFF H.,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/d6d1260e524b7930188ef2b8df1438b3","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,14.95,5707196264654,2024-03-22 22:59:59+00:00,2024-03-21 21:20:50+00:00,25,39.95,37.42,2024-03-21 05:37:52+00:00,3.0,each,"{'da': 'Kød & fisk>Grisekød>Medister', 'en': 'Meat Fish>Pork>Thick Sausages'}",ØKO MEDISTER ØGO,,"{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,8.5,5760466976626,2024-03-22 22:59:59+00:00,2024-03-21 21:20:50+00:00,15,23.5,36.17,2024-03-19 08:11:00+00:00,3.0,each,"{'da': 'Mejeri & køl>Mejeri>Koldskål', 'en': 'Dairy And Cold Storage>Dairy>Cold Butter Milk Soup'}",KOLDSKÅL 1% CHEASY,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/image","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,17.95,5707196304091,2024-03-23 22:59:59+00:00,2024-03-22 05:53:33+00:00,67,84.95,21.13,2024-03-22 05:53:11+00:00,1.0,each,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Flæskesteg & ribbenssteg', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Roasted Pork'}",RIBBENSSTEG VELSMAG,,"{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,17.95,5707196301755,2024-03-23 22:59:59+00:00,2024-03-22 05:33:58+00:00,32,49.95,35.94,2024-03-22 05:32:56+00:00,2.0,each,"{'da': 'Kød & fisk>Grisekød>Hakket grisekød', 'en': 'Meat Fish>Pork>Minced Pork'}",HK. GRIS 8-12% ØGO,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/26b0373d7766f37c47ac21c221237afc","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,24.95,5710405641603,2024-03-23 22:59:59+00:00,2024-03-22 05:39:14+00:00,55,79.95,31.21,2024-03-22 05:38:47+00:00,4.0,each,"{'da': 'Kød & fisk>Lammekød', 'en': 'Meat Fish>Lamb'}",LAMMECULOTTE PREMIEUR,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a9211cc58cb1080ebbbea27c1bf4fb4b","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,1.75,5701012523789,2024-03-22 22:59:59+00:00,2024-03-22 05:54:28+00:00,4,5.75,30.43,2024-03-22 05:53:40+00:00,1.0,each,"{'da': 'Brød & kager>Rugbrød>Andre rugbrød', 'en': 'Bread And Cakes>Rye Breads>Other Rye Breads'}",EGELUND MØRK GAMLE MØLLE,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/7e7dc20b-ddc1-43a6-a6a8-39e9b753637e","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
DKK,4.5,5712874603977,2024-03-22 22:59:59+00:00,2024-03-22 05:54:28+00:00,6,10.5,42.86,2024-03-22 05:54:05+00:00,1.0,each,"{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}",FK KRYDDERBOLLE GAMLE MØLLE,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/6a8b83d064e56d95350d0f847b91e74d","{'city': 'Århus C', 'country': 'DK', 'extra': None, 'street': 'Jægergårdsgade 64-70', 'zip': '8000'}",netto,"[10.200813, 56.148021]","[{'date': '2024-03-22', 'type': 'store', 'open': '2024-03-22T07:00:00', 'close': '2024-03-22T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0.01, 0.1, 0.1, 0.14, 0.18, 0.24, 0.24, 0.28, 0.32, 0.34, 0.4, 0.37, 0.36, 0.24, 0.2, 0.21, 0.24, 0]}, {'date': '2024-03-23', 'type': 'store', 'open': '2024-03-23T07:00:00', 'close': '2024-03-23T23:00:00', 'closed': False, 'customerFlow': [0, 0, 0, 0, 0, 0, 0, 0.06, 0.11, 0.18, 0.23, 0.27, 0.3, 0.33, 0.32, 0.31, 0.32, 0.34, 0.32, 0.22, 0.17, 0.15, 0.19, 0.01]}]",Netto Jægergårdsgade,da2957d5-67ec-4f24-9c49-235b6712e063,Point
